TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
6135,3314,2821,1137,1122,2156,867,51,100,3304,646,646,1167,566,352,160,928,1173,380,336,4372,5841,283,538,76685,109,2044,34,482,2606,666,5671,1004,Census Tract 119.02; San Diego County; California,6,73,11902
3319,1838,1481,1255,1255,543,213,81,0,1472,201,201,411,535,89,70,398,339,267,294,2244,3152,646,699,38973,265,1558,0,390,1057,436,2965,477,Census Tract 120.02; San Diego County; California,6,73,12002
2899,1497,1402,903,903,506,177,10,0,1604,25,25,290,334,217,43,474,479,184,123,1987,2748,91,163,93438,87,1348,26,369,1320,283,2534,328,Census Tract 120.03; San Diego County; California,6,73,12003
2193,1138,1055,123,123,922,246,0,21,1700,85,85,563,149,151,60,286,599,60,165,1650,2029,99,169,93824,135,726,0,176,912,413,1831,291,Census Tract 121.01; San Diego County; California,6,73,12101
2753,1448,1305,269,269,1263,393,9,7,1823,123,123,573,229,205,66,664,551,159,86,2033,2671,136,462,70125,103,787,25,278,1077,485,2384,328,Census Tract 121.02; San Diego County; California,6,73,12102
3355,1766,1589,237,237,1140,240,34,16,2651,54,79,1190,188,164,113,631,625,198,139,2240,3208,187,494,60500,186,917,87,327,1185,355,2793,315,Census Tract 122; San Diego County; California,6,73,12200
1533,820,713,261,258,543,245,0,0,932,43,49,111,263,70,95,222,317,39,123,1238,1405,129,282,44750,66,635,29,103,506,288,1349,270,Census Tract 123.02; San Diego County; California,6,73,12302
3847,1829,2018,294,294,1730,1114,13,11,2130,88,88,552,588,223,205,603,707,154,28,2853,3625,99,450,75024,109,1122,92,410,1459,540,3231,426,Census Tract 123.03; San Diego County; California,6,73,12303
4427,2156,2271,605,559,1981,1581,58,51,2137,75,75,517,732,509,344,410,800,103,140,3263,4295,140,437,90300,146,1078,58,480,1979,1082,4047,684,Census Tract 123.04; San Diego County; California,6,73,12304
3151,1511,1640,329,329,750,281,9,0,2374,101,101,1188,318,148,95,334,406,367,220,2367,3010,180,214,81538,203,1108,19,325,1153,308,2533,294,Census Tract 124.01; San Diego County; California,6,73,12401
5448,2592,2856,261,206,2192,538,94,0,4331,265,286,1175,428,215,181,941,1007,277,359,3556,5291,313,895,64018,228,1460,39,701,1661,743,4631,681,Census Tract 124.02; San Diego County; California,6,73,12402
3980,2011,1969,52,52,1383,271,31,0,3524,58,58,1097,192,212,25,711,542,473,195,2626,3743,401,1128,43125,364,1973,21,501,1158,264,3414,508,Census Tract 125.01; San Diego County; California,6,73,12501
4830,2198,2632,223,212,1364,354,123,10,3914,291,300,1633,403,160,41,871,669,390,277,3115,4584,245,596,65625,120,1507,137,566,1657,464,4208,669,Census Tract 125.02; San Diego County; California,6,73,12502
4700,2530,2170,142,142,1676,572,17,0,3799,119,119,1280,246,112,46,854,781,608,227,3222,4576,285,544,78017,471,1675,20,481,1829,540,4248,502,Census Tract 126; San Diego County; California,6,73,12600
4882,2582,2300,105,105,1816,697,224,32,3547,418,418,973,467,355,97,782,701,344,320,3229,4578,402,662,67961,184,1562,28,667,1812,589,4384,676,Census Tract 127; San Diego County; California,6,73,12700
3797,1771,2026,179,143,1621,879,10,17,2499,20,20,816,521,252,153,564,703,276,115,2731,3612,153,276,84185,241,705,50,440,1353,591,3344,465,Census Tract 128; San Diego County; California,6,73,12800
3741,2010,1731,129,129,1812,1215,61,0,2249,53,53,616,557,266,227,564,574,75,25,2452,3540,138,203,103438,120,749,23,528,1636,718,3517,311,Census Tract 129; San Diego County; California,6,73,12900
5526,2467,3059,366,366,1675,812,93,39,3979,261,435,800,584,284,159,1090,842,714,142,4081,5130,298,703,72700,293,1754,11,674,1900,653,4313,684,Census Tract 130; San Diego County; California,6,73,13000
